project_project_id,cases_case_id,cases_submitter_id,samples_sample_id,samples_submitter_id,portions_portion_id,portions_submitter_id,analytes_analyte_id,analytes_submitter_id,aliquots_aliquot_id,aliquots_aliquot_quantity,aliquots_aliquot_volume,aliquots_amount,aliquots_analyte_type,aliquots_analyte_type_id,aliquots_concentration,aliquots_no_matched_normal_low_pass_wgs,aliquots_no_matched_normal_targeted_sequencing,aliquots_no_matched_normal_wgs,aliquots_no_matched_normal_wxs,aliquots_selected_normal_low_pass_wgs,aliquots_selected_normal_targeted_sequencing,aliquots_selected_normal_wgs,aliquots_selected_normal_wxs,aliquots_source_center,aliquots_state,aliquots_submitter_id
TCGA-SKCM,7a918706-c697-4cef-9661-346c5a612ff8,TCGA-ER-A19M,82fcc4cc-0028-435f-ad17-c3a9bea6ba3c,TCGA-ER-A19M-06A,5ddb5213-0b65-4e90-8ebb-fa34c4ba648e,TCGA-ER-A19M-06A-61,2e0e3afc-7182-4cc3-bbda-1bc346e6bb9f,TCGA-ER-A19M-06A-61D,16af1d54-572c-4a37-bd5b-4e807c9af55b,3.2,40.0,,,,0.08,,,,,,,,,23,released,TCGA-ER-A19M-06A-61D-A23B-08
TCGA-SKCM,7a918706-c697-4cef-9661-346c5a612ff8,TCGA-ER-A19M,82fcc4cc-0028-435f-ad17-c3a9bea6ba3c,TCGA-ER-A19M-06A,5ddb5213-0b65-4e90-8ebb-fa34c4ba648e,TCGA-ER-A19M-06A-61,2e0e3afc-7182-4cc3-bbda-1bc346e6bb9f,TCGA-ER-A19M-06A-61D,50c55ec2-9f55-4446-bd7a-e4f7d0e160b3,1.07,6.7,,,,0.16,,,,,,,,,23,released,TCGA-ER-A19M-06A-61D-A238-01
TCGA-SKCM,7a918706-c697-4cef-9661-346c5a612ff8,TCGA-ER-A19M,82fcc4cc-0028-435f-ad17-c3a9bea6ba3c,TCGA-ER-A19M-06A,5ddb5213-0b65-4e90-8ebb-fa34c4ba648e,TCGA-ER-A19M-06A-61,2e0e3afc-7182-4cc3-bbda-1bc346e6bb9f,TCGA-ER-A19M-06A-61D,7a0d7f20-0865-462d-9423-c81a905d9202,2.0,50.0,,,,0.04,false,false,false,false,false,false,false,false,23,released,TCGA-ER-A19M-06A-61D-A95C-36
TCGA-SKCM,7a918706-c697-4cef-9661-346c5a612ff8,TCGA-ER-A19M,82fcc4cc-0028-435f-ad17-c3a9bea6ba3c,TCGA-ER-A19M-06A,5ddb5213-0b65-4e90-8ebb-fa34c4ba648e,TCGA-ER-A19M-06A-61,2e0e3afc-7182-4cc3-bbda-1bc346e6bb9f,TCGA-ER-A19M-06A-61D,eb5a2a9a-f893-4ba1-b439-0549218830c1,2.08,13.0,,,,0.16,,,,,,,,,23,released,TCGA-ER-A19M-06A-61D-A23D-05
TCGA-SKCM,7a918706-c697-4cef-9661-346c5a612ff8,TCGA-ER-A19M,82fcc4cc-0028-435f-ad17-c3a9bea6ba3c,TCGA-ER-A19M-06A,5ddb5213-0b65-4e90-8ebb-fa34c4ba648e,TCGA-ER-A19M-06A-61,6d588646-45c3-489b-8790-eca6d456a57e,TCGA-ER-A19M-06A-61W,9248faa9-dd18-4585-b8a0-eb61aba48aca,40.0,80.0,,,,0.5,,,,,,,,,23,released,TCGA-ER-A19M-06A-61W-A23H-08
TCGA-SKCM,7a918706-c697-4cef-9661-346c5a612ff8,TCGA-ER-A19M,82fcc4cc-0028-435f-ad17-c3a9bea6ba3c,TCGA-ER-A19M-06A,5ddb5213-0b65-4e90-8ebb-fa34c4ba648e,TCGA-ER-A19M-06A-61,d8a2beb5-4fdd-4bde-9a54-c2f1a8612974,TCGA-ER-A19M-06A-61R,6d0395f6-4eb7-4dba-bfbe-e2e728482e37,2.08,13.0,,,,0.16,,,,,,,,,23,released,TCGA-ER-A19M-06A-61R-A239-07
TCGA-SKCM,7a918706-c697-4cef-9661-346c5a612ff8,TCGA-ER-A19M,82fcc4cc-0028-435f-ad17-c3a9bea6ba3c,TCGA-ER-A19M-06A,5ddb5213-0b65-4e90-8ebb-fa34c4ba648e,TCGA-ER-A19M-06A-61,d8a2beb5-4fdd-4bde-9a54-c2f1a8612974,TCGA-ER-A19M-06A-61R,c504d0ef-f704-489f-b994-93760465b108,3.2,20.0,,,,0.16,,,,,,,,,23,released,TCGA-ER-A19M-06A-61R-A23A-13
TCGA-SKCM,7a918706-c697-4cef-9661-346c5a612ff8,TCGA-ER-A19M,a1d68d34-9499-4f7a-af51-a78ad2d058ce,TCGA-ER-A19M-10A,6533ce40-aa6c-4218-8b8f-6e07473da585,TCGA-ER-A19M-10A-01,367eaca3-2850-416d-96e1-663d898c7720,TCGA-ER-A19M-10A-01W,04706af2-5fc3-4339-a9db-78405802c68f,40.0,80.0,,,,0.5,,,,,,,,,23,released,TCGA-ER-A19M-10A-01W-A23H-08
TCGA-SKCM,7a918706-c697-4cef-9661-346c5a612ff8,TCGA-ER-A19M,a1d68d34-9499-4f7a-af51-a78ad2d058ce,TCGA-ER-A19M-10A,6533ce40-aa6c-4218-8b8f-6e07473da585,TCGA-ER-A19M-10A-01,65abe119-15a8-41b1-8b17-6d141e034464,TCGA-ER-A19M-10A-01D,2609defd-7378-4205-b4c8-e68444499090,2.0,50.0,,,,0.04,false,false,false,false,false,false,false,false,23,released,TCGA-ER-A19M-10A-01D-A95C-36
TCGA-SKCM,7a918706-c697-4cef-9661-346c5a612ff8,TCGA-ER-A19M,a1d68d34-9499-4f7a-af51-a78ad2d058ce,TCGA-ER-A19M-10A,6533ce40-aa6c-4218-8b8f-6e07473da585,TCGA-ER-A19M-10A-01,65abe119-15a8-41b1-8b17-6d141e034464,TCGA-ER-A19M-10A-01D,5ecd4ce6-f1f2-4504-ae4c-9b041a4d8dee,3.2,40.0,,,,0.08,,,,,,,,,23,released,TCGA-ER-A19M-10A-01D-A23B-08
