project_project_id,cases_case_id,cases_submitter_id,samples_sample_id,samples_submitter_id,portions_portion_id,portions_submitter_id,analytes_a260_a280_ratio,analytes_amount,analytes_analyte_id,analytes_analyte_quantity,analytes_analyte_type,analytes_analyte_type_id,analytes_analyte_volume,analytes_concentration,analytes_experimental_protocol_type,analytes_normal_tumor_genotype_snp_match,analytes_ribosomal_rna_28s_16s_ratio,analytes_rna_integrity_number,analytes_spectrophotometer_method,analytes_state,analytes_submitter_id,analytes_well_number
TCGA-SKCM,7a918706-c697-4cef-9661-346c5a612ff8,TCGA-ER-A19M,82fcc4cc-0028-435f-ad17-c3a9bea6ba3c,TCGA-ER-A19M-06A,5ddb5213-0b65-4e90-8ebb-fa34c4ba648e,TCGA-ER-A19M-06A-61,,,2e0e3afc-7182-4cc3-bbda-1bc346e6bb9f,,DNA,D,,0.16,aDNA Preparation Type,Yes,,,PicoGreen,released,TCGA-ER-A19M-06A-61D,
TCGA-SKCM,7a918706-c697-4cef-9661-346c5a612ff8,TCGA-ER-A19M,82fcc4cc-0028-435f-ad17-c3a9bea6ba3c,TCGA-ER-A19M-06A,5ddb5213-0b65-4e90-8ebb-fa34c4ba648e,TCGA-ER-A19M-06A-61,,,6d588646-45c3-489b-8790-eca6d456a57e,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-ER-A19M-06A-61W,
TCGA-SKCM,7a918706-c697-4cef-9661-346c5a612ff8,TCGA-ER-A19M,82fcc4cc-0028-435f-ad17-c3a9bea6ba3c,TCGA-ER-A19M-06A,5ddb5213-0b65-4e90-8ebb-fa34c4ba648e,TCGA-ER-A19M-06A-61,1.73,,d8a2beb5-4fdd-4bde-9a54-c2f1a8612974,,RNA,R,,0.16,nRNA - Melanoma Protocol,Yes,1.6,9.0,UV Spec,released,TCGA-ER-A19M-06A-61R,
TCGA-SKCM,7a918706-c697-4cef-9661-346c5a612ff8,TCGA-ER-A19M,a1d68d34-9499-4f7a-af51-a78ad2d058ce,TCGA-ER-A19M-10A,6533ce40-aa6c-4218-8b8f-6e07473da585,TCGA-ER-A19M-10A-01,,,367eaca3-2850-416d-96e1-663d898c7720,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-ER-A19M-10A-01W,
TCGA-SKCM,7a918706-c697-4cef-9661-346c5a612ff8,TCGA-ER-A19M,a1d68d34-9499-4f7a-af51-a78ad2d058ce,TCGA-ER-A19M-10A,6533ce40-aa6c-4218-8b8f-6e07473da585,TCGA-ER-A19M-10A-01,,,65abe119-15a8-41b1-8b17-6d141e034464,,DNA,D,,0.16,aDNA Preparation Type,Yes,,,PicoGreen,released,TCGA-ER-A19M-10A-01D,
TCGA-SKCM,a5930bc2-d0e4-454f-b60d-5dd1148d4669,TCGA-IH-A3EA,d60aa8fb-a33c-4c5a-ab81-a740935585df,TCGA-IH-A3EA-10A,eba08d2c-1ff4-4800-a8e5-6540f42f6f47,TCGA-IH-A3EA-10A-01,,,a146117d-2241-4ffd-9851-03ea4d812e65,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-IH-A3EA-10A-01W,
TCGA-SKCM,a5930bc2-d0e4-454f-b60d-5dd1148d4669,TCGA-IH-A3EA,d60aa8fb-a33c-4c5a-ab81-a740935585df,TCGA-IH-A3EA-10A,eba08d2c-1ff4-4800-a8e5-6540f42f6f47,TCGA-IH-A3EA-10A-01,,,f2b96f68-c7ee-49c2-b60b-7b481377a17a,,DNA,D,,0.16,aDNA Preparation Type,Yes,,,PicoGreen,released,TCGA-IH-A3EA-10A-01D,
TCGA-SKCM,a5930bc2-d0e4-454f-b60d-5dd1148d4669,TCGA-IH-A3EA,f4308178-4987-42a1-b41b-1aa8cc7a78d9,TCGA-IH-A3EA-01A,ba6f8fa2-977a-479e-a7b7-e0530a292ea6,TCGA-IH-A3EA-01A-11,1.71,,77eec669-6984-4f44-bf9e-f5c7c342d475,,RNA,R,,0.17,nRNA - Melanoma Protocol,Yes,1.6,8.3,UV Spec,released,TCGA-IH-A3EA-01A-11R,
TCGA-SKCM,a5930bc2-d0e4-454f-b60d-5dd1148d4669,TCGA-IH-A3EA,f4308178-4987-42a1-b41b-1aa8cc7a78d9,TCGA-IH-A3EA-01A,ba6f8fa2-977a-479e-a7b7-e0530a292ea6,TCGA-IH-A3EA-01A-11,,,9f9b786d-1773-497c-bbb9-b6166c8e8bf9,,DNA,D,,0.15,aDNA Preparation Type,Yes,,,PicoGreen,released,TCGA-IH-A3EA-01A-11D,
TCGA-SKCM,a5930bc2-d0e4-454f-b60d-5dd1148d4669,TCGA-IH-A3EA,f4308178-4987-42a1-b41b-1aa8cc7a78d9,TCGA-IH-A3EA-01A,ba6f8fa2-977a-479e-a7b7-e0530a292ea6,TCGA-IH-A3EA-01A-11,,,dbc89384-2287-4385-a821-0f93bf67db34,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-IH-A3EA-01A-11W,
